2026-06-22 12:06:22.682: [INFO] OnDoneLoading sync enabled: 0
2026-06-22 12:06:22.686: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-22 12:06:24.160: [INFO] VisibilityChanged: 0
2026-06-22 12:06:30.375: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-22 12:06:30.400: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-22 12:06:30.411: [INFO] Primary account changed.
2026-06-22 12:06:30.411: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-06-22 12:06:30.453: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-22 12:06:30.508: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-22 12:06:38.639: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.642: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.647: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.650: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.653: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.655: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.658: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.662: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.665: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.669: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.673: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:38.676: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-22 12:06:45.338: [INFO] VisibilityChanged: 0
